Apex Handyman Services
A/R Aging Detail
As of 31 December 2025

Num,Customer,Date,Due Date,Amount,Open Balance,P.O. #
1041,"Alvarez, Dana",11/18/2025,12/18/2025,"1,284.50","1,284.50",
1052,"Nakamura, Yui",12/02/2025,12/02/2025,642.00,642.00,
1063,Saguaro Ridge Property Group,12/14/2025,01/13/2026,"4,180.75","2,180.75",PO-8841
1070,"Okafor, Chidi",12/28/2025,12/28/2025,310.00,310.00,
1074,Desert Bloom Apartments,12/05/2025,01/04/2026,"2,945.00","2,945.00",DB-2291
1078,Ironwood Builders,12/09/2025,01/23/2026,"6,123.00","6,123.00",IW-4417
1081,Copperleaf HOA,12/11/2025,01/10/2026,"1,876.50","1,876.50",
1084,"Whitfield, Eleanor",12/15/2025,12/15/2025,425.00,425.00,
1088,Papago Dental Group,12/18/2025,01/02/2026,963.00,963.00,PD-1120
1090,Sunridge Self Storage,12/19/2025,01/18/2026,"2,339.00","2,339.00",SS-7734
1093,Mesquite Grove Rentals,12/22/2025,01/21/2026,"1,452.00","1,452.00",
1095,"Pham, Linh",12/23/2025,12/23/2025,587.00,587.00,
1097,"Brennan, Sean",12/27/2025,12/27/2025,399.00,399.00,
1099,"Castillo, Marisol",12/30/2025,12/30/2025,714.00,714.00,
1100,Ghost Customer Ltd,12/29/2025,01/28/2026,500.00,500.00,
